Description Strength Dexterity Constitution Intelligence Charisma
Emhyr_Var_Emreis 3 4 6 10 10
Geralt_From_Rivia 8 10 9 8 10
Sigismund_Dijkstra 4 7 5 10 10
Eredin 8 9 9 10 10
Ciri 7 10 6 8 9
Yennefer 3 3 5 10 10
Imlerith 10 3 10 4 3
Vesemir 7 8 7 8 9
Dandelion 2 4 5 5 10
Bloody_Baron 8 4 9 6 8
Olgierd_Von_Everec 8 6 9 6 7
Roach 7 5 9 2 8
Earth_Elemental 8 2 9 1 1
Morvudd 7 8 8 2 1
Lambert 6 8 6 6 8
Woodland_Spirit 8 3 6 8 3
Vernon_Roche 6 8 7 6 7
Regis 8 8 8 8 1
Philippa_Eilhart 2 2 4 8 7
King_Radovid_V 6 6 6 8 8
King_Foltest 4 4 7 7 8
Triss_Merigold 2 2 5 8 9
Trollololo 8 2 9 1 3
Zoltan 7 5 9 6 9
Redanian_Elite 7 5 8 4 4
Temerian_Infantryman 8 4 8 3 3
Commander_s_Horn 1 1 5 3 7
Infantry 4 3 5 2 1
Revenant 5 2 5 1 0
Mutated_Hounds 4 4 4 1 0
Reconnaissance 3 5 3 3 2
Arachas_Hatchling 4 5 5 1 1
Pirate 3 5 3 3 4
Dol_Blathanna_Archer 3 5 3 4 4
Priestess_of_Freya 1 2 3 5 5
Tormented_Mage 1 1 4 5 1
Warcrier 5 3 4 1 3
Clan_Skirmisher 4 4 3 2 3
Dwarf_Adventurer 4 4 4 1 3
Kaedweni_Sergeant 3 3 3 3 3
